rho_A,sigma,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.3,0.0,0.0,0.8629059195518494,0.5750746130943298,-0.2878313064575195,0.034800434160435,0.0122594816910813,-0.0225409524693536,0.0645811160405476,1.7911749283472698,0.0158709685007731,1.278716266155243
0.3,0.0,1.0,0.862979531288147,0.5785365700721741,-0.2844429612159729,0.0347717384886619,0.0125520940393497,-0.0222196444493122,0.0645416975021362,1.791612188021342,0.0162197748819987,1.2759769558906555
0.3,0.0,2.0,0.8628165125846863,0.5760993957519531,-0.2867171168327331,0.0347457393962094,0.0124469606538469,-0.0222987787423625,0.0645359555880228,1.7928415735562642,0.0160644849141438,1.2745706637700398
0.3,0.05,0.0,0.851812481880188,0.5673232674598694,-0.2844892144203186,0.0349848808448005,0.0122744883525033,-0.0227103924922971,0.0645124713579813,1.7794975638389587,0.0157960851987202,1.2711076736450195
0.3,0.05,1.0,0.8518749475479126,0.5717728137969971,-0.2801021337509155,0.0349851309429746,0.012615156595128,-0.0223699743478466,0.06454598903656,1.7804089188575745,0.016211728254954,1.2688875198364258
0.3,0.05,2.0,0.8517737984657288,0.564914345741272,-0.2868594527244568,0.0349689278720538,0.0126363374252755,-0.0223325904467783,0.0645440220832824,1.7812095085779829,0.0162136952082316,1.2668871482213335
0.3,0.1,0.0,0.8192712068557739,0.5471814274787903,-0.2720897793769836,0.0355582030316648,0.0128983588905397,-0.022659844141125,0.0643593867619832,1.7456135948499043,0.0162894129753112,1.2466164429982505
0.3,0.1,1.0,0.819429337978363,0.542052149772644,-0.277377188205719,0.0356460384834,0.012765034019419,-0.0228810044639809,0.0645698904991149,1.7468485236167908,0.0160967707633972,1.2449081540107727
0.3,0.1,2.0,0.819381833076477,0.5476626753807068,-0.2717191576957702,0.0356025264233337,0.0128371150086438,-0.0227654114146899,0.0645053386688232,1.7473137974739077,0.0161581635475158,1.2425486048062642
0.3,0.2,0.0,0.700499415397644,0.4715728759765625,-0.2289265394210815,0.0380150659285024,0.0138493775269285,-0.0241656884015739,0.0641096433003743,1.622317612171173,0.0162396828333536,1.1563532948493958
0.3,0.2,1.0,0.7006930708885193,0.4637694358825683,-0.2369236350059509,0.0382629666883493,0.0136656310040309,-0.0245973356843184,0.0645869771639506,1.623389224211375,0.0159909824530283,1.1541695793469746
0.3,0.2,2.0,0.7007248997688293,0.4720642566680908,-0.2286606431007385,0.0380917961495695,0.014265178810014,-0.0238266173395554,0.0643013715744018,1.6237621506055195,0.0166803896427154,1.15262774626414
0.3,0.35,0.0,0.4450434148311615,0.3051271736621856,-0.1399162411689758,0.044875268033556,0.0174406560194807,-0.0274346120140752,0.0637724101543426,1.3573313057422638,0.0169439812501271,0.954578032096227
0.3,0.35,1.0,0.4450716972351074,0.3030219376087188,-0.1420497596263885,0.0452742043090404,0.0172668992750773,-0.028007305033963,0.0643856525421142,1.3577409982681274,0.016724944114685,0.9518881142139436
0.3,0.35,2.0,0.4454978406429291,0.2985187768936157,-0.1469790637493133,0.0449356256695611,0.0169782945069794,-0.0279573311625817,0.0639122029145558,1.3583936393260956,0.0163963834444681,0.9493297934532166
0.5,0.0,0.0,0.8556470274925232,0.5370399951934814,-0.3186070322990417,0.0933956271998518,0.0371188461656843,-0.0562767810341675,0.1726102431615193,1.6755516926447551,0.0458484590053558,1.1893316109975178
0.5,0.0,1.0,0.8558283448219299,0.5423011183738708,-0.3135272264480591,0.0934185500103164,0.0371733379640868,-0.0562452120462296,0.1727069814999898,1.6760369936625164,0.0458528697490692,1.1876352230707805
0.5,0.0,2.0,0.855708122253418,0.5391438007354736,-0.3165643215179443,0.093257618022193,0.0372411879370336,-0.0560164300851593,0.1725418965021769,1.6776221990585327,0.0458628932634989,1.1856470505396526
0.5,0.05,0.0,0.8448759317398071,0.5321685671806335,-0.3127073645591736,0.0938798458302541,0.0374946564903284,-0.0563851893399256,0.1724333564440409,1.6643118460973103,0.0460339983304341,1.1817142367362976
