rho_A,sigma,alpha,beta,pool_dim,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.3,0.1,0.0,0.0,64,0,0.3677404522895813,0.2761809527873993,-0.091559499502182,0.0029580716776467357,0.000870115404330685,-0.0020879562733160505,0.0022280613581339517,0.7509860595067342,0.0005063215891520182,0.5813953280448914
0.3,0.1,0.0,0.0,64,1,0.3678290545940399,0.27202174067497253,-0.09580731391906738,0.0021815514815801003,0.0,-0.0021815514815801003,0.001653840144475301,0.756448894739151,-0.00031333168347676593,0.5633607904116312
0.3,0.1,0.0,0.0,64,2,0.36599618196487427,0.2760806381702423,-0.08991554379463196,0.0012994584789652564,0.001788264748661039,0.0004888062696957827,0.0009789069493611653,0.7523402372996012,0.0010299980640411377,0.574946274360021
0.3,0.1,0.0,0.0,128,0,0.507529616355896,0.3562668561935425,-0.15126276016235352,0.002827771413376828,0.001554208140118245,-0.0012735632732585832,0.0029643774032592773,1.0453443328539531,0.0011648436387379963,0.7483124037583669
0.3,0.1,0.0,0.0,128,1,0.5088123083114624,0.353800505399704,-0.15501180291175842,0.0027180622392975113,0.0016891739903909706,-0.0010288882489065407,0.002856274445851644,1.047993262608846,0.0012700458367665608,0.7506038546562195
0.3,0.1,0.0,0.0,128,2,0.5041568279266357,0.35436728596687317,-0.14978954195976257,0.002705913904390686,0.0016917312879265267,-0.0010141826164641592,0.0028177102406819663,1.0384978453318279,0.0012702743212382,0.7496021191279093
0.3,0.1,0.0,0.0,512,0,0.9839016795158386,0.5749393105506897,-0.4089623689651489,0.004088896968036948,0.0031996274233567898,-0.0008892695446801584,0.008042534192403158,1.958877702554067,0.0037078857421875,1.1551413337389629
0.3,0.1,0.0,0.0,512,1,0.9839017391204834,0.5759075880050659,-0.4079941511154175,0.00415259513635306,0.0033787377616939875,-0.0007738573746590726,0.008167922496795654,1.9587761759757996,0.003923237323760986,1.1572314898173015
0.3,0.1,0.0,0.0,512,2,0.983919084072113,0.5720767378807068,-0.41184234619140625,0.004152092667575123,0.0034543576102267666,-0.0006977350573483566,0.008165717124938965,1.9584852655728657,0.003976643085479736,1.147219479084015
0.3,0.1,0.0,0.0,1024,0,0.9599214196205139,0.535150408744812,-0.4247710108757019,0.028493378306564662,0.003466068909029562,-0.0250273093975351,0.05514633655548096,1.880262513955434,0.0038190881411234536,1.098030944665273
0.3,0.1,0.0,0.0,1024,1,0.9598475098609924,0.5352337956428528,-0.42461371421813965,0.029064121702700608,0.003525280913050856,-0.025538840789649752,0.05624626080195109,1.879000961780548,0.0038864612579345703,1.0985678831736247
0.3,0.1,0.0,0.0,1024,2,0.9599624276161194,0.534793496131897,-0.4251689314842224,0.028980577330026135,0.0034755386073818915,-0.025505038722644244,0.05607710282007853,1.878912051518758,0.003831624984741211,1.0986233949661255
0.3,0.1,0.0,0.3,64,0,0.37797126173973083,0.2794474959373474,-0.09852376580238342,0.014024105366471896,0.006695098961729895,-0.007329006404742001,0.010873725016911825,0.7644858956336975,0.003917018572489421,0.5811405877272288
0.3,0.1,0.0,0.3,64,1,0.37638387084007263,0.2762679159641266,-0.10011595487594604,0.013450268636773857,0.005491493288301793,-0.007958775348472065,0.010345697402954102,0.7588357726732889,0.0031280716260274253,0.5664932429790497
0.3,0.1,0.0,0.3,64,2,0.3756258189678192,0.28343209624290466,-0.09219372272491455,0.013874011277438366,0.005534771399000272,-0.008339239878438095,0.010740300019582113,0.7633905410766602,0.0032557149728139243,0.5849736332893372
0.3,0.1,0.0,0.3,128,0,0.5164092779159546,0.3582172989845276,-0.158191978931427,0.013572158007532196,0.0057965828684757624,-0.007775575139056434,0.014458795388539633,1.0508688688278198,0.00437052051226298,0.7496117154757181
0.3,0.1,0.0,0.3,128,1,0.517478883266449,0.35740745067596436,-0.16007143259048462,0.013497097758751683,0.005920092928665962,-0.007577004830085721,0.014372567335764566,1.0504909753799438,0.004407743612925212,0.7401318550109863
0.3,0.1,0.0,0.3,128,2,0.5155191421508789,0.35816407203674316,-0.15735507011413574,0.01396573399219686,0.006186255971360564,-0.0077794780208362965,0.014822185039520264,1.046502987543742,0.004656761884689331,0.7481025656064352
0.3,0.1,0.0,0.3,512,0,0.9843674898147583,0.5745595693588257,-0.4098079204559326,0.004290863457158556,0.0037034514727423964,-0.0005874119844161592,0.008425533771514893,1.955173134803772,0.004268844922383626,1.1483977834383647
0.3,0.1,0.0,0.3,512,1,0.9843324422836304,0.5752772092819214,-0.409055233001709,0.004357750818283597,0.003733177697489081,-0.0006245731207945157,0.008561511834462484,1.9561014970143635,0.004309475421905518,1.1500624219576518
0.3,0.1,0.0,0.3,512,2,0.9843510389328003,0.57745361328125,-0.4068974256515503,0.004351830178575497,0.003781970690690699,-0.0005698594878847984,0.008548001448313395,1.9556833902994792,0.0043865640958150225,1.1554754376411438
0.3,0.1,0.0,0.3,1024,0,0.9612377882003784,0.5382131338119507,-0.42302465438842773,0.029604819841188797,0.004063344792660681,-0.025541475048528117,0.05735377470652262,1.8799582918485005,0.004486680030822754,1.0996972521146138
0.3,0.1,0.0,0.3,1024,1,0.9611122012138367,0.5378513336181641,-0.4232608675956726,0.030152106614753628,0.003930837290763459,-0.02622126932399017,0.058439016342163086,1.8797013958295186,0.004333297411600749,1.0980520447095234
0.3,0.1,0.0,0.3,1024,2,0.9612494111061096,0.5373805165290833,-0.42386889457702637,0.030074205685886646,0.003971362964864456,-0.02610284272102219,0.05827305714289347,1.8793693780899048,0.004369656244913737,1.0959216753641765
0.3,0.1,0.0,0.6,64,0,0.4728155732154846,0.34170523285865784,-0.13111034035682678,0.03782382163453827,0.01608309885975957,-0.0217407227747787,0.036558965841929116,0.9300003151098887,0.01100104053815206,0.67301145195961
0.3,0.1,0.0,0.6,64,1,0.47052648663520813,0.3378428816795349,-0.13268360495567322,0.03911204574749769,0.015599047059896044,-0.023512998687601643,0.03743217388788859,0.9196175833543142,0.01072421669960022,0.6767675677935282
0.3,0.1,0.0,0.6,64,2,0.4725987911224365,0.342611163854599,-0.12998762726783752,0.040100440194285145,0.016364618598968247,-0.023735821595316897,0.038647234439849854,0.9251136183738708,0.011322557926177979,0.6805700063705444
0.3,0.1,0.0,0.6,128,0,0.5916743874549866,0.40073251724243164,-0.19094187021255493,0.03214181345750476,0.013186571190634308,-0.018955242266870453,0.03888219594955444,1.1708254019419353,0.010828733444213867,0.8103652894496918
0.3,0.1,0.0,0.6,128,1,0.5888469815254211,0.39505597949028015,-0.193791002035141,0.03294987733570427,0.013706410350285018,-0.019243466985419254,0.039687017599741616,1.1647793054580688,0.010932326316833496,0.7866744895776113
0.3,0.1,0.0,0.6,128,2,0.5916293859481812,0.39957699179649353,-0.19205239415168762,0.03235490174476004,0.012705338476587984,-0.019649563268172052,0.03897064924240112,1.165503700574239,0.01023206114768982,0.795103520154953
0.3,0.1,0.0,0.6,512,0,0.9856977462768555,0.5936288833618164,-0.39206886291503906,0.005051761948647008,0.005253921668859496,0.0002021597202124881,0.009875794251759848,1.9450449546178181,0.006179233392079671,1.1699390610059102
0.3,0.1,0.0,0.6,512,1,0.9856709241867065,0.5936418771743774,-0.3920290470123291,0.005106803479934429,0.005388613084899347,0.0002818096049649176,0.00999683141708374,1.9475547870000203,0.006337026755015056,1.1696662704149883
0.3,0.1,0.0,0.6,512,2,0.9856839179992676,0.5902010798454285,-0.3954828381538391,0.0050987840664216645,0.005266737044293677,0.0001679529778720124,0.009974797566731771,1.9463342825571697,0.006142059961954753,1.1600562731424968
0.3,0.1,0.0,0.6,1024,0,0.9652339816093445,0.557059645652771,-0.4081743359565735,0.03372961323603421,0.00575572840576142,-0.027973884830272792,0.06565481424331665,1.88084880510966,0.006458063920338948,1.1155656774838765
0.3,0.1,0.0,0.6,1024,1,0.9651226997375488,0.5557560920715332,-0.4093666076660156,0.034208596980948656,0.005610299177710738,-0.02859829780323792,0.06667061646779378,1.8822727004686992,0.0062759121259053545,1.1123653451601665
0.3,0.1,0.0,0.6,1024,2,0.9652190804481506,0.554967999458313,-0.41025108098983765,0.03413337615572487,0.005632337698029162,-0.028501038457695707,0.06648073593775432,1.8811946312586467,0.0062901973724365234,1.110510269800822
0.3,0.1,0.0,0.85,64,0,0.7323001623153687,0.4775620102882385,-0.2547381520271301,0.05575274295202954,0.015613147911342802,-0.04013959504068674,0.08295947313308716,1.4050296147664387,0.014578392108281454,0.9191469649473826
0.3,0.1,0.0,0.85,64,1,0.724586546421051,0.4668848216533661,-0.25770172476768494,0.05498768902286176,0.01670997795169534,-0.03827771107116642,0.08112575610478719,1.3942182262738545,0.015228937069574991,0.8961389362812042
0.3,0.1,0.0,0.85,64,2,0.7203691601753235,0.4682897627353668,-0.25207939743995667,0.054684827745624255,0.017056588180636365,-0.03762823956498789,0.07967414458592732,1.377295692761739,0.015467445055643717,0.8913636803627014
0.3,0.1,0.0,0.85,128,0,0.7807906866073608,0.503160297870636,-0.27763038873672485,0.04333650775063477,0.015366939136330958,-0.027969568614303816,0.06844029823939006,1.5108355085055034,0.014972100655237833,0.9593338767687479
0.3,0.1,0.0,0.85,128,1,0.7754191160202026,0.5030401349067688,-0.27237898111343384,0.04251867110455174,0.01624465103996059,-0.026274020064591154,0.06689554452896118,1.5064260760943096,0.01585500439008077,0.9601588447888693
