nl_S,nl_E,seed,rho,sigma,d,n,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,Ehat_ridge,Ehat_mlp,Ehat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp,info_rms_lin_S,info_rms_lin_E,info_rms_res_S,info_rms_res_E,info_rms_noise,info_rms_Snext,info_v_S
0.5,0.0,4,0.7,0.3,16,8000,0.8501930236816406,0.8356713652610779,-0.014521658420562744,0.5243749518074257,0.5259415450905797,0.0015665932831540053,0.47562504819257434,0.4740584549094204,-0.0015665932831539497,0.8943535972386598,0.8112076507881284,0.8924528331806262,0.8044141314302882,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.553093842334639,2.1372549019607843
0.5,0.5,0,0.7,0.3,16,8000,0.7709200978279114,0.7528016567230225,-0.018118441104888916,0.5212659195458305,0.5210139640505221,-0.0002519554953083203,0.47873408045416943,0.4789860359494779,0.0002519554953084868,0.8048215132206679,0.7391534198075533,0.8012655870368083,0.7366309806626911,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.6333072742006594,2.1372549019607843
0.5,0.5,1,0.7,0.3,16,8000,0.7640069723129272,0.7468246221542358,-0.017182350158691406,0.5679485069067775,0.5680830326669404,0.00013452576016292905,0.4320514930932226,0.4319169673330596,-0.00013452576016298456,0.8714349545538426,0.6629206145803134,0.8689682426551978,0.660681813210249,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.571059550383549,2.1372549019607843
0.5,0.5,2,0.7,0.3,16,8000,0.7703668475151062,0.7532134652137756,-0.017153382301330566,0.5123187899805668,0.5098143882995251,-0.0025044016810417125,0.48768121001943326,0.490185611700475,0.0025044016810417125,0.7891950402408838,0.7512423898811297,0.7812320978691181,0.7511532482465555,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.6355884299542869,2.1372549019607843
0.5,0.5,3,0.7,0.3,16,8000,0.7695861458778381,0.7513284683227539,-0.01825767755508423,0.5319844904596143,0.5307144655297922,-0.001270024929822089,0.46801550954038584,0.46928553447020793,0.001270024929822089,0.8137740842998028,0.7159210457156102,0.8089441809803247,0.7153108252833287,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.6088962843999406,2.1372549019607843
0.5,0.5,4,0.7,0.3,16,8000,0.7672285437583923,0.7485044598579407,-0.01872408390045166,0.522053140031605,0.521136141713507,-0.0009169983180979946,0.47794685996839514,0.47886385828649297,0.0009169983180978281,0.8037707251807054,0.7358632000784079,0.7960700130710999,0.7314962970558554,1.022224549247996,1.0036613627378226,1.0222245492458715,1.003661362734887,0.2999295611365,1.6318669748335721,2.1372549019607843
0.5,1.0,0,0.7,0.3,16,8000,0.5984863638877869,0.8925394415855408,0.2940530776977539,0.5197117729441018,0.3797042800364071,-0.14000749290769465,0.4802882270558982,0.6202957199635929,0.1400074929076947,0.6267193910976251,0.5791786156905194,0.6952364226182302,1.1357580095529556,1.0246741636792256,1.0082319505926318,1.0246741636769088,1.008231950589687,0.3006815359583377,1.8519737367081617,2.1372549019607843
0.5,1.0,1,0.7,0.3,16,8000,0.6081264019012451,0.5884085893630981,-0.019717812538146973,0.5671525036853854,0.5642637374531844,-0.0028887662322010232,0.4328474963146146,0.4357362625468156,0.0028887662322009677,0.6923885151743889,0.5284268928070863,0.6886170576016108,0.5317644978562991,1.0222359595607802,0.9215448572519856,1.0222359595584574,0.9215448572490494,0.29913744275123993,1.7627958761711955,2.1372549019607843
0.5,1.0,2,0.7,0.3,16,8000,0.6024705171585083,0.5808915495872498,-0.021578967571258545,0.5116759004782272,0.5069278859879799,-0.00474801449024731,0.48832409952177286,0.49307211401202,0.004748014490247143,0.6157679948257282,0.5876656518443876,0.6061554602036874,0.5895875181537121,1.022779599847016,1.0114765096584162,1.0227795998448759,1.0114765096553426,0.30069175165640477,1.8548139938470516,2.1372549019607843
0.5,1.0,3,0.7,0.3,16,8000,0.6022989153862,0.5804051756858826,-0.021893739700317383,0.5311295910654018,0.5285390203973352,-0.0025905706680665608,0.46887040893459825,0.47146097960266486,0.0025905706680666163,0.6384659924854835,0.563624802728494,0.6354075818012158,0.5667885802220554,1.0224696995565625,0.9757386699426752,1.0224696995542875,0.9757386699397798,0.3003490954080528,1.816549155764846,2.1372549019607843
